id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
11;DBS d.d.;Depozit 181-270 dni;100;;EUR;181;270.0;days;1.1;0.0;1.1;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-24;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 271-365 dni;100;;EUR;271;365.0;days;1.2;0.0;1.2;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-24;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 12-23M;100;;EUR;12;23.0;months;1.4;0.0;1.4;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-24;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 24-35M;100;;EUR;24;35.0;months;1.7;0.0;1.7;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-24;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 36-59M;100;;EUR;36;59.0;months;1.7;0.0;1.7;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-24;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 60-360M;100;;EUR;60;360.0;months;1.7;0.0;1.7;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-24;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
9;Gorenjska banka d.d.;Depozit 13M;250;500000.0;EUR;13;13.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 14M;250;500000.0;EUR;14;14.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 15M;250;500000.0;EUR;15;15.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 16M;250;500000.0;EUR;16;16.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 17M;250;500000.0;EUR;17;17.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 18M;250;500000.0;EUR;18;18.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 19M;250;500000.0;EUR;19;19.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 20M;250;500000.0;EUR;20;20.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 21M;250;500000.0;EUR;21;21.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 22M;250;500000.0;EUR;22;22.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 23M;250;500000.0;EUR;23;23.0;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 24M;250;500000.0;EUR;24;24.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 25M;250;500000.0;EUR;25;25.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 26M;250;500000.0;EUR;26;26.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 27M;250;500000.0;EUR;27;27.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 28M;250;500000.0;EUR;28;28.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 29M;250;500000.0;EUR;29;29.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 30M;250;500000.0;EUR;30;30.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
9;Gorenjska banka d.d.;Depozit 31M;250;500000.0;EUR;31;31.0;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-24;redna ponudba;gbkr_depoziti.csv
