id;bank;product_name;amount_min;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes;source_file
10;LON d.d.;Vezana vloga 24M;1000;EUR;24;24;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-10;scraped from LON PDF;lon_depoziti.csv
10;LON d.d.;Vezana vloga 24M;1000;EUR;24;24;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-10;scraped from LON PDF;lon_depoziti.csv
10;LON d.d.;Vezana vloga 36M;1000;EUR;36;36;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-10;scraped from LON PDF;lon_depoziti.csv
10;LON d.d.;Vezana vloga 60M;1000;EUR;60;60;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-10;scraped from LON PDF;lon_depoziti.csv
10;LON d.d.;Vezana vloga 22M;1000;EUR;22;22;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-10;scraped from LON PDF;lon_depoziti.csv
10;LON d.d.;Vezana vloga 22M;1000;EUR;22;22;months;1.5;0.0;1.5;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-10;scraped from LON PDF;lon_depoziti.csv
10;LON d.d.;Vezana vloga 33M;1000;EUR;33;33;months;1.5;0.0;1.5;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-10;scraped from LON PDF;lon_depoziti.csv
1;NLB d.d.;Depozit 31D;1500;EUR;31;31;days;0.45;0.1;0.55;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 61D;1500;EUR;61;61;days;0.45;0.1;0.55;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 91D;1500;EUR;91;91;days;0.45;0.1;0.55;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
1;NLB d.d.;Depozit 181D;1500;EUR;181;181;days;0.45;0.1;0.55;https://www.nlb.si/content/nlbbanks/nlbsi/sl/osebno/varcevanja-in-nalozbe/izracun-varcevanja.savingscalculate;2026-02-10;scraped from NLB API (Klik obrestna mera);nlb_depoziti.csv
