id;bank;product_name;amount_min;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
10;LON d.d.;Vezana vloga 3M;1000;EUR;3;3;months;0.8;0.0;0.8;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 6M;1000;EUR;6;6;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 24M;1000;EUR;24;24;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 24M;1000;EUR;24;24;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 36M;1000;EUR;36;36;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 60M;1000;EUR;60;60;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 22M;1000;EUR;22;22;months;1.45;0.0;1.45;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 22M;1000;EUR;22;22;months;1.5;0.0;1.5;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
10;LON d.d.;Vezana vloga 33M;1000;EUR;33;33;months;1.5;0.0;1.5;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-02-11;scraped from LON PDF
