id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
11;DBS d.d.;Depozit 31-60 dni;0;;EUR;31;60;days;0.7;0.0;0.7;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 61-90 dni;0;;EUR;61;90;days;0.9;0.0;0.9;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 91-180 dni;0;;EUR;91;180;days;1.0;0.0;1.0;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 181-270 dni;0;;EUR;181;270;days;1.1;0.0;1.1;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 271-365 dni;0;;EUR;271;365;days;1.2;0.0;1.2;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 12M+;0;;EUR;12;;months;1.4;0.0;1.4;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 24M+;0;;EUR;24;;months;1.7;0.0;1.7;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 36M+;0;;EUR;36;;months;1.7;0.0;1.7;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
11;DBS d.d.;Depozit 60M+;0;;EUR;60;;months;1.7;0.0;1.7;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-13;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)"
