id;bank;product_name;amount_min;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
9;Gorenjska banka d.d.;Depozit 13M;1000;EUR;13;13;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-11;scraped from GBKR calculator
9;Gorenjska banka d.d.;Depozit 18M;1000;EUR;18;18;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-11;scraped from GBKR calculator
9;Gorenjska banka d.d.;Depozit 24M;1000;EUR;24;24;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-11;scraped from GBKR calculator
9;Gorenjska banka d.d.;Depozit 30M;1000;EUR;30;30;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-11;scraped from GBKR calculator
9;Gorenjska banka d.d.;Depozit 35M;1000;EUR;35;35;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-11;scraped from GBKR calculator
