id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
9;Gorenjska banka d.d.;Depozit 13M;250;500000;EUR;13;13;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 14M;250;500000;EUR;14;14;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 15M;250;500000;EUR;15;15;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 16M;250;500000;EUR;16;16;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 17M;250;500000;EUR;17;17;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 18M;250;500000;EUR;18;18;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 19M;250;500000;EUR;19;19;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 20M;250;500000;EUR;20;20;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 21M;250;500000;EUR;21;21;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 22M;250;500000;EUR;22;22;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 23M;250;500000;EUR;23;23;months;1.2;0.0;1.2;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 24M;250;500000;EUR;24;24;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 25M;250;500000;EUR;25;25;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 26M;250;500000;EUR;26;26;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 27M;250;500000;EUR;27;27;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 28M;250;500000;EUR;28;28;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 29M;250;500000;EUR;29;29;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 30M;250;500000;EUR;30;30;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 31M;250;500000;EUR;31;31;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 32M;250;500000;EUR;32;32;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 33M;250;500000;EUR;33;33;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 34M;250;500000;EUR;34;34;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 35M;250;500000;EUR;35;35;months;1.3;0.0;1.3;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 31–90 dni;250;500000;EUR;31;90;days;0.4;0.0;0.4;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 91–180 dni;250;500000;EUR;91;180;days;0.6;0.0;0.6;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
9;Gorenjska banka d.d.;Depozit 181–365 dni;250;500000;EUR;181;365;days;0.9;0.0;0.9;https://www.gbkr.si/klasicni-depozit/;2026-02-22;redna ponudba
