id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;url;last_updated;notes
7;Delavska hranilnica d.d.;Depozit 31-90 dni;100;500000;EUR;31;90;days;0.6;0.0;0.6;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 91-180 dni;100;500000;EUR;91;180;days;0.8;0.0;0.8;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 181-270 dni;100;500000;EUR;181;270;days;1.0;0.0;1.0;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 271-365 dni;100;500000;EUR;271;365;days;1.2;0.0;1.2;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 12-23M;100;500000;EUR;12;23;months;1.4;0.0;1.4;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 24-35M;100;500000;EUR;24;35;months;1.4;0.0;1.4;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 36-47M;100;500000;EUR;36;47;months;1.7;0.0;1.7;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 48-59M;100;500000;EUR;48;59;months;1.9;0.0;1.9;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
7;Delavska hranilnica d.d.;Depozit 60M;100;500000;EUR;60;;months;2.2;0.0;2.2;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-25;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)"
