id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes
10;LON d.d.;Depozit 12M–24M;200;;EUR;12;24;months;1.45;0.0;1.45;regular;pdf;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-04-30;"klasični depozit; linearno obrestovanje; predčasna razvezava ni možna"
10;LON d.d.;Depozit 1M–3M;200;;EUR;1;3;months;0.6;0.0;0.6;regular;pdf;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-04-30;"klasični depozit; linearno obrestovanje; predčasna razvezava ni možna"
10;LON d.d.;Depozit 3M–6M;200;;EUR;3;6;months;0.8;0.0;0.8;regular;pdf;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-04-30;"klasični depozit; linearno obrestovanje; predčasna razvezava ni možna"
10;LON d.d.;Depozit 6M–12M;200;;EUR;6;12;months;1.45;0.0;1.45;regular;pdf;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-04-30;"klasični depozit; linearno obrestovanje; predčasna razvezava ni možna"
10;LON d.d.;Depozit 24M–36M;200;;EUR;24;36;months;1.45;0.0;1.45;regular;pdf;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-04-30;"klasični depozit; linearno obrestovanje; predčasna razvezava ni možna"
10;LON d.d.;Depozit 36M–60M;200;;EUR;36;60;months;1.45;0.0;1.45;regular;pdf;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-04-30;"klasični depozit; linearno obrestovanje; predčasna razvezava ni možna"
10;LON d.d.;Depozit 60M+;200;;EUR;60;;months;1.45;0.0;1.45;regular;pdf;https://www.lon.si/sites/default/files/lbobrestne_mere_fo-letak-1-2026.pdf;2026-04-30;"klasični depozit; linearno obrestovanje; predčasna razvezava ni možna"
