id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes
8;BKS Bank AG;Depozit 6M;1000;;EUR;6;6;months;1.2;0.0;1.2;regular;pdf;https://www.bksbank.si/mbxs8qn54zwj/5KCS2xBUrYLfcAD08PEYkA/7795108aff18106ef4539f251bfa5d08/Obrestne_mere_VLOGE_1._1._2026_final.pdf;2026-04-03;scraped via PDF
8;BKS Bank AG;Depozit 12M;1000;;EUR;12;12;months;1.3;0.0;1.3;regular;pdf;https://www.bksbank.si/mbxs8qn54zwj/5KCS2xBUrYLfcAD08PEYkA/7795108aff18106ef4539f251bfa5d08/Obrestne_mere_VLOGE_1._1._2026_final.pdf;2026-04-03;scraped via PDF
8;BKS Bank AG;Depozit 24M;1000;;EUR;24;24;months;1.7;0.0;1.7;regular;pdf;https://www.bksbank.si/mbxs8qn54zwj/5KCS2xBUrYLfcAD08PEYkA/7795108aff18106ef4539f251bfa5d08/Obrestne_mere_VLOGE_1._1._2026_final.pdf;2026-04-03;scraped via PDF
8;BKS Bank AG;Depozit 36M;1000;;EUR;36;36;months;1.75;0.0;1.75;regular;pdf;https://www.bksbank.si/mbxs8qn54zwj/5KCS2xBUrYLfcAD08PEYkA/7795108aff18106ef4539f251bfa5d08/Obrestne_mere_VLOGE_1._1._2026_final.pdf;2026-04-03;scraped via PDF
