id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes
9;Gorenjska banka d.d.;Depozit 31–60 dni;250;500000;EUR;31;60;days;0.4;0.0;0.4;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-03-13;scraped via PDF
9;Gorenjska banka d.d.;Depozit 61–90 dni;250;500000;EUR;61;90;days;0.4;0.0;0.4;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-03-13;scraped via PDF
9;Gorenjska banka d.d.;Depozit 91–180 dni;250;500000;EUR;91;180;days;0.6;0.0;0.6;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-03-13;scraped via PDF
9;Gorenjska banka d.d.;Depozit 181–270 dni;250;500000;EUR;181;270;days;0.9;0.0;0.9;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-03-13;scraped via PDF
9;Gorenjska banka d.d.;Depozit 271–365 dni;250;500000;EUR;271;365;days;0.9;0.0;0.9;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-03-13;scraped via PDF
9;Gorenjska banka d.d.;Depozit 13–23M;250;500000;EUR;13;23;months;1.2;0.0;1.2;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-03-13;scraped via PDF
9;Gorenjska banka d.d.;Depozit 24–35M;250;500000;EUR;24;35;months;1.3;0.0;1.3;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-03-13;scraped via PDF
