id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;source;url;last_updated;notes;source_file
7;Delavska hranilnica d.d.;Depozit 24-35M;100;500000.0;EUR;24;35.0;months;1.4;0.0;1.4;regular;pdf;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-28;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)";dh_depoziti.csv
7;Delavska hranilnica d.d.;Depozit 36-47M;100;500000.0;EUR;36;47.0;months;1.7;0.0;1.7;regular;pdf;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-28;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)";dh_depoziti.csv
7;Delavska hranilnica d.d.;Depozit 48-59M;100;500000.0;EUR;48;59.0;months;1.9;0.0;1.9;regular;pdf;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-28;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)";dh_depoziti.csv
7;Delavska hranilnica d.d.;Depozit 60M;100;500000.0;EUR;60;;months;2.2;0.0;2.2;regular;pdf;https://www.dh.si/doc/tarifa-in-obrestne-mere/sklep-o-obrestnih-merah-veljavnost-15012026.pdf;2026-02-28;"scraped via PDF; posebna ponudba do 15.1.2026 (ne upoštevamo)";dh_depoziti.csv
11;DBS d.d.;Depozit 31-60 dni;100;;EUR;31;60.0;days;0.7;0.0;0.7;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 61-90 dni;100;;EUR;61;90.0;days;0.9;0.0;0.9;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 91-180 dni;100;;EUR;91;180.0;days;1.0;0.0;1.0;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 181-270 dni;100;;EUR;181;270.0;days;1.1;0.0;1.1;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 271-365 dni;100;;EUR;271;365.0;days;1.2;0.0;1.2;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 12-23M;100;;EUR;12;23.0;months;1.4;0.0;1.4;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 24-35M;100;;EUR;24;35.0;months;1.7;0.0;1.7;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 36-59M;100;;EUR;36;59.0;months;1.7;0.0;1.7;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
11;DBS d.d.;Depozit 60-360M;100;;EUR;60;360.0;months;1.7;0.0;1.7;regular;pdf;https://www.dbs.si/document-download/196-obrestne-mere-fizicne-osebe;2026-02-28;"scraped via pdfplumber; depoziti v DOMACI valuti (EUR)";dbs_depoziti.csv
9;Gorenjska banka d.d.;Depozit 31–60 dni;250;500000.0;EUR;31;60.0;days;0.4;0.0;0.4;regular;pdf;https://www.gbkr.si/wp-content/uploads/pdfs/obrestne-mere-za-depozite-za-prebivalstvo.pdf;2026-02-28;scraped via PDF;gbkr_depoziti.csv
