id;bank;product_name;amount_min;amount_max;amount_currency;min_term;max_term;term_unit;rate_branch;rate_klik_bonus;rate_klik_total;offer_type;url;last_updated;notes;source
6;UniCredit Banka Slovenija d.d.;Depozit 31–90D;500;100000;EUR;31;90;days;0.7;0.10000000000000009;0.8;regular;https://www.unicreditbank.si/content/dam/cee2020-pws-si/SI-DOK/Tarife_in_obrestne_mere/Izvlecek_iz_tarife_PI/Izvle%C4%8Dek%20Sklepa%20o%20obrestnih%20merah%20banke%2001.08.2025.pdf;2026-02-28;scraped from UniCredit PDF;pdf
6;UniCredit Banka Slovenija d.d.;Depozit 91–365D;500;100000;EUR;91;365;days;0.9;0.09999999999999998;1.0;regular;https://www.unicreditbank.si/content/dam/cee2020-pws-si/SI-DOK/Tarife_in_obrestne_mere/Izvlecek_iz_tarife_PI/Izvle%C4%8Dek%20Sklepa%20o%20obrestnih%20merah%20banke%2001.08.2025.pdf;2026-02-28;scraped from UniCredit PDF;pdf
6;UniCredit Banka Slovenija d.d.;Depozit 12–36M;500;100000;EUR;12;36;months;1.1;0.09999999999999987;1.2;regular;https://www.unicreditbank.si/content/dam/cee2020-pws-si/SI-DOK/Tarife_in_obrestne_mere/Izvlecek_iz_tarife_PI/Izvle%C4%8Dek%20Sklepa%20o%20obrestnih%20merah%20banke%2001.08.2025.pdf;2026-02-28;scraped from UniCredit PDF;pdf
6;UniCredit Banka Slovenija d.d.;Depozit 37–60M;500;100000;EUR;37;60;months;0.01;0.0;0.01;regular;https://www.unicreditbank.si/content/dam/cee2020-pws-si/SI-DOK/Tarife_in_obrestne_mere/Izvlecek_iz_tarife_PI/Izvle%C4%8Dek%20Sklepa%20o%20obrestnih%20merah%20banke%2001.08.2025.pdf;2026-02-28;scraped from UniCredit PDF;pdf
